#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_261	31	86	17	14	24	97	44	47	22	33	20	40	18	22	24	60	25	24
OTU_262	39	22	32	37	24	47	36	22	49	36	41	34	39	79	69	94	68	52
OTU_263	1	2	4	0	0	1	4	1	2	5	0	1	0	2	1	1	0	1
OTU_264	3	14	10	5	6	9	9	4	13	5	7	7	8	7	10	11	3	5
OTU_265	65	69	46	33	43	52	84	51	50	52	89	79	65	62	84	73	77	105
OTU_266	66	89	33	92	115	165	25	35	55	44	62	56	80	116	62	55	62	44
OTU_267	8	12	17	32	36	12	5	4	4	5	8	3	9	16	6	4	13	19
OTU_268	66	106	145	180	144	142	64	46	77	71	87	53	86	141	85	112	166	58
OTU_269	184	195	306	233	220	212	246	144	144	162	181	201	150	175	229	158	155	200
OTU_270	7	6	3	4	2	5	15	5	14	6	23	9	4	5	5	8	9	14
OTU_271	79	42	132	37	20	42	77	31	46	49	80	63	62	55	80	75	52	93
OTU_272	8	6	4	5	10	9	16	5	9	5	6	10	7	2	7	5	3	9
OTU_273	4	3	1	1	1	4	6	1	5	7	4	5	1	4	6	5	2	4
OTU_274	1	2	0	1	0	0	1	0	1	2	3	3	2	0	1	0	3	5
OTU_275	25	43	13	25	16	24	36	31	21	30	28	38	24	33	22	26	25	21
OTU_276	9	7	5	14	3	7	21	7	18	9	33	7	16	6	11	7	8	15
OTU_277	48	52	35	66	23	53	59	48	36	43	41	62	34	25	41	36	29	43
OTU_278	5	0	0	2	3	4	0	5	3	2	6	8	0	0	2	7	0	1
OTU_279	2	4	6	0	7	5	25	15	7	10	9	8	8	4	23	3	6	4
OTU_28	1	0	0	1	1	1	3	2	3	1	5	4	1	6	7	1	0	3
OTU_280	6	1	2	2	4	2	0	2	0	2	1	3	2	2	4	4	4	3
OTU_281	8	15	6	20	8	9	7	9	9	9	12	11	16	23	20	24	20	15
OTU_282	5	15	28	8	1	14	12	5	16	13	13	16	7	8	18	13	3	14
OTU_283	17	23	3	6	6	6	21	3	9	8	7	20	7	8	8	8	9	7
OTU_284	3	0	0	0	0	0	0	1	0	0	2	0	0	1	3	1	2	1
OTU_285	3	2	2	1	0	2	5	1	2	2	4	2	5	0	2	2	0	5
OTU_287	1	1	0	1	1	0	3	3	5	0	4	4	0	0	3	0	2	4
OTU_288	4	0	0	0	0	4	3	0	0	1	2	1	1	2	2	1	2	1
OTU_289	6	1	2	0	0	0	1	0	0	1	5	2	6	1	0	0	0	4
OTU_29	3	5	3	0	0	1	5	3	5	4	1	6	0	2	9	2	1	4
OTU_292	19	11	9	9	6	24	22	9	18	7	12	21	19	14	35	13	15	20
OTU_294	4	1	1	2	0	1	4	1	3	1	3	2	1	2	1	2	1	4
OTU_297	7	8	0	8	3	4	16	7	7	9	6	9	8	8	5	4	13	6
OTU_298	46	37	10	17	30	33	39	16	27	19	36	32	42	40	50	37	52	47
OTU_299	10	8	6	9	7	8	22	12	12	13	18	13	12	13	17	13	11	9
OTU_3	2	2	0	2	1	0	3	1	0	2	1	0	3	1	2	3	2	1
OTU_300	3	0	3	0	0	0	3	2	1	2	1	0	1	0	0	1	4	1
OTU_301	22	24	52	8	4	24	31	17	22	17	22	27	15	10	18	21	14	23
OTU_302	5	4	1	1	1	5	12	2	5	1	1	5	6	1	2	4	6	9
OTU_303	4	0	2	0	0	5	1	0	4	3	0	6	8	0	0	2	0	3
OTU_304	4	9	11	2	0	3	3	3	5	5	1	11	1	11	8	9	4	8
OTU_305	1	2	2	1	1	1	8	2	2	3	6	3	4	2	5	1	1	1
OTU_306	11	6	13	13	23	13	3	3	21	14	8	3	23	20	8	14	22	14
OTU_307	6	1	1	1	1	1	0	3	0	2	0	1	1	2	3	5	1	1
OTU_308	4	8	9	8	13	5	3	7	7	7	9	10	12	10	7	17	6	8
OTU_309	6	2	1	4	3	6	3	3	1	5	2	3	4	0	3	2	7	3
OTU_310	18	12	4	6	3	9	11	13	8	7	15	17	13	6	3	5	5	9
OTU_312	3	1	1	6	6	3	4	6	6	4	5	6	4	4	5	7	5	6
OTU_314	17	15	10	2	21	10	13	90	14	12	33	18	5	8	1	15	29	41
OTU_315	0	1	1	0	2	0	1	1	3	1	2	0	2	1	5	3	0	0
OTU_317	3	5	3	1	2	2	5	1	3	6	4	5	2	11	5	4	6	12
OTU_318	3	5	3	4	8	6	3	7	4	0	4	6	3	4	5	2	1	4
OTU_319	1	1	13	6	1	21	0	0	2	7	4	6	2	10	2	4	0	7
OTU_320	0	5	2	1	0	0	0	0	0	0	1	0	2	0	2	0	1	0
OTU_321	0	2	0	0	0	0	1	0	3	0	0	1	0	6	2	1	2	2
OTU_322	5	3	5	8	2	1	12	7	3	3	6	4	7	7	8	9	5	4
OTU_325	15	12	24	11	18	10	21	14	13	11	17	10	25	9	11	36	12	11
OTU_326	0	2	0	1	2	0	6	2	1	1	2	0	2	0	0	0	0	3
OTU_328	0	2	2	0	2	2	2	2	2	0	4	3	2	6	2	4	3	7
OTU_329	8	6	21	9	7	11	4	31	8	4	14	2	2	2	4	8	4	20
OTU_33	1	1	0	1	1	2	13	2	4	2	3	4	5	3	5	1	2	1
OTU_330	2	4	3	2	0	4	6	2	6	1	4	8	3	0	1	0	3	7
OTU_331	0	0	1	0	0	0	2	4	3	1	0	3	3	0	0	0	0	2
OTU_332	0	0	1	1	3	2	1	1	2	3	5	1	4	5	4	2	0	3
OTU_333	16	16	9	11	17	13	22	24	17	18	11	42	14	10	13	10	9	16
OTU_334	25	28	38	13	23	29	29	22	18	17	12	15	17	9	51	28	7	26
OTU_335	0	0	4	3	2	0	1	4	0	0	5	1	0	11	5	2	4	4
OTU_336	0	0	0	4	0	3	0	1	0	5	0	1	0	0	0	3	0	0
OTU_337	1	0	0	1	0	3	2	2	1	1	5	0	1	3	2	1	2	1
OTU_338	78	78	99	111	109	125	74	78	71	74	108	63	76	76	81	149	121	106
OTU_339	0	0	1	0	3	0	0	0	2	1	2	3	2	1	0	0	0	1
OTU_340	0	0	0	0	1	0	3	2	1	3	1	4	4	4	5	0	1	1
OTU_341	0	0	0	0	0	0	4	0	5	0	4	4	0	2	5	1	2	1
OTU_342	0	0	1	0	1	0	3	1	2	3	1	5	4	0	3	2	2	1
OTU_343	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	8	0	0
OTU_344	1	2	1	0	0	1	6	8	3	2	6	12	5	2	1	1	0	0
OTU_345	0	0	0	0	0	2	2	2	1	2	1	1	0	0	1	1	1	0
OTU_346	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0
OTU_347	29	17	12	31	29	28	18	16	19	15	26	20	15	29	19	24	24	16
OTU_348	69	26	97	101	80	71	28	36	130	80	53	66	73	123	92	97	80	95
OTU_349	77	53	87	53	51	66	109	68	100	98	56	174	38	29	49	60	28	76
OTU_35	3	8	8	1	0	2	1	9	2	4	3	3	1	1	5	1	6	3
OTU_350	20	23	21	13	12	19	25	59	31	36	43	47	25	22	33	64	28	43
OTU_351	9	12	2	9	27	13	15	10	10	12	6	17	2	6	23	51	3	21
OTU_352	2	11	2	2	0	2	5	0	6	1	2	6	3	2	9	6	2	8
OTU_353	42	35	63	55	56	41	26	19	22	13	39	23	32	23	33	27	27	34
OTU_354	2	4	2	6	4	3	4	4	1	10	3	5	5	9	4	2	6	7
OTU_355	7	1	6	2	3	2	6	5	2	3	10	6	3	3	6	5	3	0
OTU_356	74	67	188	127	123	100	80	52	95	69	80	126	53	253	92	281	77	93
OTU_358	21	30	42	22	22	23	10	36	8	21	22	14	15	7	30	37	20	19
OTU_359	11	19	8	10	12	5	21	22	11	16	14	17	12	4	16	5	7	10
OTU_360	21	3	2	0	0	1	4	3	2	5	4	16	26	0	11	1	0	2
OTU_361	51	9	11	19	17	22	25	12	12	24	17	42	12	8	28	21	24	36
OTU_362	1	1	0	0	0	1	3	3	1	1	0	3	3	0	1	3	0	3
OTU_363	1	0	3	0	0	2	1	1	1	0	1	3	4	0	2	2	0	3
OTU_364	17	43	0	3	52	66	3	74	7	10	15	6	3	48	50	17	2	4
OTU_365	21	2	1	20	2	2	175	26	40	138	1	30	0	1	2	1	1	5
OTU_366	114	107	109	153	95	105	76	55	121	65	78	101	92	99	111	96	80	90
OTU_367	44	52	70	81	88	74	31	29	73	32	37	24	42	47	43	39	44	42
OTU_368	42	51	40	65	59	48	54	40	33	46	40	42	34	29	60	76	35	48
OTU_369	23	24	92	91	81	53	53	113	41	47	157	77	76	66	46	66	250	302
OTU_371	3	1	0	1	0	0	0	0	1	0	1	2	0	0	2	0	0	0
OTU_372	126	178	91	92	57	94	269	186	145	145	153	193	148	134	206	154	99	160
OTU_373	117	246	185	174	120	123	144	191	154	142	146	125	132	159	187	145	127	167
