$index.pair
    name1 name2 D.ij.ruzicka G.ij.ruzicka Ds.ij.ruzicka Gs.ij.ruzicka C.ij.ruzicka
18  N_60 N2_60 N1_60    0.1806014    0.6230849     0.4599899      0.1600993      0.1333282

$Dmax
[1] 1

$dist.method
[1] "ruzicka"

$index.between
          group size ST.i.ruzicka NST.i.ruzicka MST.i.ruzicka
1  N_40.vs.E_60    9    0.5694816    0.25535326    0.22980047
2   N_40.vs.E_0    9    0.4349353    0.09048532    0.08308690
3   N_40.vs.N_0    9    0.3847712    0.09090073    0.08321990
4  N_40.vs.E_40    9    0.6155906    0.37187535    0.31791499
5  N_40.vs.N_60    9    0.4960902    0.24104746    0.20706017
6   E_60.vs.E_0    9    0.5226689    0.13003175    0.11765878
7   E_60.vs.N_0    9    0.4950600    0.12136046    0.10506421
8  E_60.vs.E_40    9    0.6953493    0.45815100    0.40145396
9  E_60.vs.N_60    9    0.5699460    0.25505044    0.22632509
10   E_0.vs.N_0    9    0.5190415    0.26046042    0.22788180
11  E_0.vs.E_40    9    0.5095981    0.11874702    0.09847313
12  E_0.vs.N_60    9    0.4515412    0.08922254    0.08019325
13  N_0.vs.E_40    9    0.4992551    0.11067285    0.09309357
14  N_0.vs.N_60    9    0.4240393    0.10698411    0.09128944
15 E_40.vs.N_60    9    0.5273044    0.16695471    0.14040986

$index.pair.between
           group name1 name2 C.ij.ruzicka E.ij.ruzicka ST.ij.ruzicka NST.ij.ruzicka
1   N_40.vs.E_60 E3_60 N1_40    0.1682903    0.5796835     0.5053644     0.12715520
2   N_40.vs.E_60 E2_60 N1_40    0.1683139    0.5589103     0.5303559     0.17712412
3   N_40.vs.E_60 E1_60 N1_40    0.1643059    0.5510710     0.5371930     0.19079440
4   N_40.vs.E_60 N2_40 E3_60    0.2889749    0.5801941     0.5904235     0.29722507
5   N_40.vs.E_60 N3_40 E3_60    0.2102774    0.5780731     0.5342723     0.18495460
6   N_40.vs.E_60 N2_40 E2_60    0.2906216    0.5313685     0.6606227     0.43758360
7   N_40.vs.E_60 N3_40 E2_60    0.2155944    0.5585317     0.5628062     0.24200619
8   N_40.vs.E_60 E1_60 N2_40    0.2869416    0.5443714     0.6389779     0.39430643
9   N_40.vs.E_60 N3_40 E1_60    0.1896214    0.5418778     0.5653187     0.24702976
10   N_40.vs.E_0  E1_0 N1_40    0.1308383    0.6567606     0.3949085     0.01968059
11   N_40.vs.E_0  E3_0 N1_40    0.1114608    0.6116240     0.4370950     0.09430570
12   N_40.vs.E_0  E2_0 N1_40    0.1140403    0.6112487     0.4387912     0.09730624
13   N_40.vs.E_0 N2_40  E1_0    0.1233596    0.6134875     0.4409019     0.10103995
14   N_40.vs.E_0 N3_40  E1_0    0.1256664    0.6120598     0.4436981     0.10598618
15   N_40.vs.E_0  E3_0 N2_40    0.1051413    0.6177996     0.4271070     0.07663751
16   N_40.vs.E_0  E2_0 N2_40    0.1087941    0.6160185     0.4308562     0.08326960
